,Stream 1,Stream 2,Stream 3,Stream 4,Stream 8,Stripper Steam Valve,Reactor Cooling Water Flow,Condensor Cooling Water Flow,Agitator Speed,Stream 6,Reactor Pressure,Reactor Level,Reactor Temperature,Stream 9,Product Sep Temp,Product Sep Level,Prod Sep Press,Stream 10,Stripper Level,Stripper Press,Stream 11,Stripper Temp,Stripper Steam Flow,Compressor Work,Reactor Cooling Water out temp,Condensor Cooling water out temp,S6 A,S6 B,S6 C,S6 D,S6 E,S6 F,S9 A,S9 B,S9 C,S9 D,S9 E,S9 F,S9 G,S9 H,S11 D,S11 E ,S11 F,S11 G,S11 H
Stream 1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Stream 2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Stream 3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Stream 4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Stream 8,,,,,0,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0
Stripper Steam Valve,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Reactor Cooling Water Flow,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Condensor Cooling Water Flow,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Agitator Speed,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Stream 6,1,1,1,1,1,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Reactor Pressure,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Reactor Level,,,,,,,,,,1,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Reactor Temperature,,,,,,,1,,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Stream 9,,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Product Sep Temp,,,,,,,,1,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Product Sep Level,,,,,,,,,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Prod Sep Press,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Stream 10,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Stripper Level,,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,0
Stripper Press,,,,,,,,,,,,,,,,,,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,0
Stream 11,,,,,,,,,,,,,,,,,,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,0
Stripper Temp,,,,,,,,,,,,,,,,,,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,0
Stripper Steam Flow,,,,,,1,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
Compressor Work,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0
Reactor Cooling Water out temp,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0
Condensor Cooling water out temp,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
S6 A,1,,,,,,,,,,,,,,1,,1,,,1,,1,,,,,0,,,,,,,,,,,,,,,,,,0
S6 B,1,1,,1,,,,,,,,,,,1,,1,,,1,,1,,,,,,0,,,,,,,,,,,,,,,,,0
S6 C,,,,1,,,,,,,,,,,1,,1,,,1,,1,,,,,,,0,,,,,,,,,,,,,,,,0
S6 D,,1,,,,,,,,,,,,,1,,1,,,1,,1,,,,,,,,0,,,,,,,,,,,,,,,0
S6 E,,,1,,,,,,,,,,,,1,,1,,,1,,1,,,,,,,,,0,,,,,,,,,,,,,,0
S6 F,,,,,,,,,,,,,,,1,,1,,,1,,1,,,,,,,,,,0,,,,,,,,,,,,,0
S9 A,,,,,,,,,1,1,1,,1,,1,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0
S9 B,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0
S9 C,,,,,,,,,1,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0
S9 D,,,,,,,,,1,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0
S9 E,,,,,,,,,1,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0
S9 F,,,,,,,,,1,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0
S9 G,,,,,,,,,1,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0
S9 H,,,,,,,,,1,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0
S11 D,,,,,,,,,1,1,1,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,0,,,,0
S11 E ,,,,,,,,,1,1,1,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,0,,,0
S11 F,,,,,,,,,1,1,1,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,0,,0
S11 G,,,,,,,,,1,1,1,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,0,0
S11 H,0,,,,,,,,1,1,1,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,0
